Tema;Subtema;Posible pregunta;Respuesta
Cursadas;Conocer la regularidad de una materia;¿Cuánto me dura la regularidad de una materia?;"La regularidad de una materia dura 14 mesas ordinarias. Es decir que si cursaste en el 1erC del 2026, la regularidad termina en el turno de marzo del 2028.

Ojo! Porque la regularidad se pierde cuando acumulás 6 aplazos.

Y además, tenés que saber que si accedés a la regularidad por medio de un examen integrador, entonces la regularidad te va a durar 13 mesas (porque la primera la ocupaste para el integrador)

Hemos preparado este apunte que te puede ser útil: https://docs.google.com/document/d/16QdmcnmPm0lj61ZQb4pVUjuh_S_vzbVP6465Ar0R7ag/edit?tab=t.0#heading=h.8g9bkiyi17bb
"
Cursadas;Extensión de regularidad;¿Cómo puede extender la regularidad?;"La regularidad de una materia como regla general, no se extiende. Pero en algunos casos especiales (licencias, movilidad estudiantil, causas atendibles, estudiantes avanzados próximos a egresar) se puede pedir una extensión de la regularidad.

La extensión, si se dá, es un turno ordinario de examen más.

Para hacer el trámite, puedes consultar el siguiente link: https://fce.uncuyo.edu.ar/guia_tramites/tramite/10

Además, puedes ver el vencimiento de una regularidad en SIU Guaraní, de la siguiente manera: https://docs.google.com/document/d/1v-U31nDTQrjQ8xYIVyCL2YFP5HI7yDgAGFRMAdwlk2k/edit?tab=t.0#heading=h.8g9bkiyi17bb"
Exámenes;Integrador;¿Qué es el examen integrador?;"Para aquellos estudiantes que no lograron la regularidad durante el cursado de una materia, tienen una oportunidad más de conseguirla por medio del examen integrador.

Ese examen integrador se rinde en la primera mesa de examen final inmediatamente posterior al cursado.

El requisito para rendir el examen integrador es haber estado inscripto a cursar la materia durante el cuatrimestre.

Si lo desaprobás, no cuenta como aplazo. Simplemente quedás libre."
Cursadas;Inscripción fuera de término;¿Cómo me inscribo a cursar fuera de término?;"La inscripción fuera de término solo se puede hacer una en toda la carrera. Si ya la usaste (ya sea para inscribirte fuera de término para cursar o para rendir examen) no podrás hacer uso de una nueva inscripción fuera de término.

Para hacer el pedido de inscripción fuera de término, puedes consultar este link: https://fce.uncuyo.edu.ar/guia_tramites/tramite/7"
Exámenes;Inscripción fuera de término;¿Cómo me inscribo a rendir fuera de término?;"La inscripción fuera de término solo se puede hacer una en toda la carrera. Si ya la usaste (ya sea para inscribirte fuera de término para cursar o para rendir examen) no podrás hacer uso de una nueva inscripción fuera de término.

Para hacer el pedido de inscripción fuera de término, puedes consultar este link: https://fce.uncuyo.edu.ar/guia_tramites/tramite/7"
Problemas técnicos;Documentación;¿Cómo subo la documentación del ingreso?;"Para subir la documentación de los ingresantes a SIU Guaraní es necesario contar con usuario. 

Recordá que además de subirla a SIU Guaraní en formato digital, es necesario que la entregues en formato físico en la Facultad (llevar original y copia).

Para subirla a SIU Guaraní tenemos estos dos tutoriales:

- En texto: https://docs.google.com/document/d/1BNhaf9DSd5_tcZghEmkoTYm4IAdpOLzlFg9lt8PkaH8/edit?usp=sharing
- En video: https://drive.google.com/file/d/1zLT1GTw9WZ3NoSD4Vs2IMfprCStIJEEV/view"
Problemas técnicos;Ingreso a SIU Guaraní;Tengo problemas para ingresar a SIU Guaraní;"Para ingresar a SIU Guaraní lo primero es asegurarte que estás ingresando al SIU Guaraní de nuestra institución, que funciona en este link: https://fce.uncuyo.edu.ar/siu-guarani

Debes seguir estos pasos:
1- Ingrese a SIU Guaraní. El error más común es intentar ingresar en un sistema SIU que no es el de nuestra Facultad, por ello haga click en el link que se le facilita.
2- Haga click en ¿Olvidaste tu contraseña o sos un usuario nuevo?
3- Siga los pasos que le llegaran al correo. Es importante que mantenga los datos actualizados en el sistema. (Lea la importancia de hacer click en el último link enviado)

Es importante hacer click en el último link que envía el sistema.

Debes saber que podrás realizar estos pasos las veces que sea necesario cada vez que no recuerdes la clave o el usuario. También debes saber que el link que te envía el sistema sirve para ser utilizado una única vez, es decir, se inhabilita luego de ser usado o cuando se solicita otro link de acceso; de allí la importancia que siempre uses el último link que te envía el sistema (te puedes dar cuenta por la hora y el día del mail enviado)

- Ver tutorial: https://drive.google.com/file/d/1z_NNS-svr31UObapb-mmzezU2RNvkzfa/view

Si tienes problemas, puedes escribir indicando tu DNI y especificando el problema al mail guarani@fce.uncu.edu.ar"
Reinscripción Anual;;¿Es obligatorio realizar la reinscripción anual?;"SÍ. Si querés tener algún tipo de actividad durante un año académico, debés realizar la reinscipción anual por SIU Guaraní. 

Se entiende por actividad académica: cursar materias, rendir exámenes, inscribirse a tesis o prácticas de trabajo, etc."
Reinscripción Anual;Datos censales;¿Cómo actualizo mis datos censales?;"Cada 6 meses debés actualizar los datos censales. 

En este enlace tenés un Tutorial de cómo se realiza la actualización: https://drive.google.com/file/d/1D4CEGFbqNesjCU8pwPoeaD2HHba1R4y2/view"
Cursadas;Inscripción pendiente;Me inscribí a cursar materias y me figuran pendientes. ¿Está bien que me figuren así?;SÍ. Apenas te inscribís a cursar, el estado siempre te va a figurar pendiente, hasta que se actualice y cambie a aceptada o rechazada. El cambio de estado se da luego de las mesas especiales de abril/septiembre.
